LABEL,TEXT
ham,Good Morning plz call me sir
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
ham,Hey they r not watching movie tonight so i'll prob b home early...
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
spam,Please call our customer service representative on FREEPHONE 0808 145 4743 between 9am-11pm as you have WON a guaranteed Â£2000 cash or Â£6000 prize!
spam,"	SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
ham,Hey now am free you can call me.
ham,Oh sorry please its over
spam,"Nationwide has noticed your debit card was recently used on 25-10-2015 13.04.43, at APPLE ONLINE STORE for 1976.00 GBP. If not you please urgently call fraud preventaion on 03303800232 or intl +443303800231. Do not reply by SMS http://www.Nationwide.co.uk/"
ham,I'm wif him now buying tix lar...
ham,Hi good mornin.. Thanku wish u d same..
ham,Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
ham,Today am going to college so am not able to atten the class.
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,2 laptop... I noe infra but too slow lar... I wan fast one
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
ham,What class of  &lt;#&gt;  reunion?
ham,Where are the garage keys? They aren't on the bookshelf
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham,Ok that's great thanx a lot.
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
spam,"Latest Nokia Mobile or iPOD MP3 Player +Â£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.Â£1,50/Mtmsgrcvd18+"
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117
ham,Which channel:-):-):):-).
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
ham,"How long before you get reply, just defer admission til next semester"
ham,Ok lor Ì_ reaching then message me.
ham,My uncles in Atlanta. Wish you guys a great semester.
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
ham,"Usf I guess, might as well take 1 car"
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
ham,Staff of placement training in Amrita college.
ham,I WILL CAL YOU SIR. In meeting
ham,Arun can u transfr me d amt
ham,"Come to mu, we're sorting out our narcotics situation"
ham,When did dad get back.
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
